Date,Source,Text
2023-08-03,SpeakEV,i enjoy driving our little fiat 500e over in california and feel one of these would make a perfect runabout when we are over in the uk most of the non ev parts are standard fiat 500 so in theory it shouldnt be too expensive to maintain standard wear items tyres brakes wipers etc some inexpensive reliable fiat 500e 2013 models here in california can be found for less than 5000 looking at the cost to ship from the us to the uk should be less than 1000 according to how much does shipping a car overseas cost costhelper once this pandemic has declined im sorely tempted to buy another 500e then pack up our current 500e for the uk but not sure about the current uk car inspection requirements looking at the vat impact it should be zero as it has been owned by us outside the eu if that even matters anymore for almost two years essentially everything except the drive train and some of the trim is standard fiat 500 especially safety elements so i would think there would be no additional inspection items required heres an example of a 2016 500e for 5991 httpswwwcarscomvehicledetaildetail828502330overview any thoughts or am i totally crazy
2022-09-12,SpeakEV,hiya we have just had delivered a new fiat 500e la prima which we love but some how i have activated a setting where the car beeps the horn when locking scanned the handbook etc but cant find the answer any ideas thanks
2021-09-07,SpeakEV,hi we are close to ordering a new fiat 500e but i am interested in the service intervals and cost the dealer are saying the intervals are every 12 months or 9000 miles is this correct for an electric car surely there is nothing much to service as it has very little moving parts if anybody has knowledge of this any information would be appreciated
2023-10-01,SpeakEV,my rented 500e is one year old today i got it in january seemingly new with only delivery mileage as its my responsibility to organise servicing although i dont pay for it does anyone know the intervals is it due its first one now
2023-07-12,SpeakEV,had a new 500e for two weeks now and was expecting the steering to be lighter especially at low speed a fellow onto subscriber has just received his and is saying the same thing also he has noticed small oil leaks next to each wheel what is the procedure for linking the app to the vehicle any comments from existing ownersdrivers will be greatly appreciated
2024-02-25,SpeakEV,i am rather a senior but like to be an early adopter i have driven all electric for nearly 11 years my first ev a smart fortwo was much loved her only drawback was that especially in the winter i only got 4548 miles when full i now have a fiat 500e also enjoyable but less quirky and i have more battery capacity i look forward to following the posts here
2023-08-17,SpeakEV,hi where can i buy a fiat 500e cell supervision circuits my car blew 7 out 9 circuits and i need to replace them
2023-10-08,SpeakEV,when you think that everybody moaning about tesla slashing prices arnold clark group is offering brand new pre reg 42kwh fiat 500e in top spec la prima with 12k discount
2022-12-02,SpeakEV,the fiat forum looks quiet so just a short post here to see if i can catch some advice weve been offered a 500e as a rental car but would like to know if it will cover my wifes daily 100 mile round trip commute at 6070mph all the way heating on etc our zoe uses about 40kwh to do that in todays weather so the fiats 42kwh battery seems a bit tight unless its efficiency is better than the zoe thanks for any advice
2024-04-17,SpeakEV,hello i picked up this 2023 fiat 500e icon edition yesterday and want to get it working with the fiat app i have done this but while the car shows up it doesnt show very much i appear to have aconnect one subscription until 2033 but wonder if i have to buy the connect plus annual sub in order to see such info as battery state of charge etc can anyone please advise cheers eugene
2023-08-09,SpeakEV,were thinking of replacing my wifes 2011 toyota verso s with an ev as it should suit her low mileage circa 3k per year were thinking of the fiat 500 electric as the icon 42kwh versions are currently circa 20k used for a 2022 model low mileage 10k miles i thought id ask opinions on it and if its a good choice
2019-02-13,SpeakEV,i just bought a fiat 500e and i love it i live in provo and there are public charge points everywhere last night the day after i bought the car it was keyed by someone straight to the metal i live in a rather good part of town and it was in a private drive for the night unfortunately i have to park on the street most of the time and the car is bright orange i learned due to gentrification there is a huge antitech sentiment here akin to san francisco ive bought a camera and switched up my insurance but that doesnt help for the damage already done what on earth could i do to prevent this from happening again is it safe to leave it at public charging ports what if they do something worse like snapping the charge port while unattended
2022-02-08,SpeakEV,just got a brand new 500e passion model and i have the app and can turn lights on switch climate on etc should it also show tyre pressures currently battery levels etc like it does on the advert any help would be greatly appreciated as i am pulling my hair out and the dealership are about as much use
2022-12-02,SpeakEV,hi i normally drive a zoe but its going off the road today possibly for some time for a repair ive been offered a fiat 500e as a replacement its possibly the 42kwh version but i dont know if other sizes are available the garage quoted a 160 mile range but the fiat website says up to 199 im just wondering if theres any gotchas about having a different car temporarily eg 1 my wife does a 100 mile round trip commute at 6070mph will the car need charged to get back home at this time of yea our zoe uses around 40kwh to make that journey 2 does the fiat have standard type 2 home charging we have a zappi at home 3 is the fiat ccs for fast charging anything else we should watch out for
2022-01-23,SpeakEV,hi all im a first time car owner and got myself the fiat 500e i really love it but everything being so tight in london and me not being the best at parking i scratched badly my wheel today you can imagine how gutted i was for my brand new car so i wanted to ask do you normally fix yours as soon as damaged shall i take it where i bought it from to fix or just find someone locally to repair is there any type of protection i can add to avoid dents and scratches thanks
2021-04-24,SpeakEV,after being interested in the 500e for quite a while i was finally able to have a test drive last week at my local fiat garage looks like i was the first to try it as it only had 8 miles on the clock in general the car is a real quantum leap over the old 500 i always loved the look of the old 500 and actually bought one in 2009 however i sold it soon after as it was pretty crap to drive this new electric model improves on the old car in pretty much every conceivable way positives looks great in the metal finally a good driving position in a 500 lots of adjustment in the seat and steering wheel you can sit noticeably lower compared to the old 500 the central display in the la prima i drove was responsive and crisp wireless carplay worked faultlessly radar cruise and auto lane hold worked very well performance felt decent nippy away from the lights amazing turning circle i didnt have time to fully test the efficiency but it seemed pretty good range was stated at 160 miles at 100 when i first got in i drove for 13 miles at a stated 4 mikwh on a mixture of motorway and town driving and got back with 7 used and 147 miles left on the gom negatives although the interior looks great there are a few bits where the materials feel cheap the ride was generally good but it tended to thump over serious bumps nowhere near as bad as the old 500 though overall i really liked it its a pity i couldnt keep it for longer to really see what the efficiency is like and what its like to live with id also be interested to see what deals are available at the right price it could be a really compelling package
2020-03-14,SpeakEV,new 500e motor1 article 42 kwh battery 88kw motor 85kw dc ccs charging speed 199 miles wltp range first edition price before incentives 37900 theyve gone to the annoyed cat school of design but otherwise looks pretty much the same good specs and im sure postlaunch trims will be cheaper decent mini alternative
2015-08-07,SpeakEV,the fiat 500e looks a fantastic little ev with a decent circa 100 mile range and 4 hour home charging sadly its only available in california and fiat dont want you to buy one as theyre making a loss does anyone know if fiat plans to bring it over the pond
2023-03-07,SpeakEV,we will soon start our 5 month ev road trip from italy to germany the netherlands northern england scotland all scottish islands like orkney shetland etc northern ireland wales and ireland and back 8000 miles 10 countries 192 photo spots all electrical with the fiat 500e we are very excited we already did a tour from italy to the uk for a month last year everything went very well and this year we want to top that we want to show the 500e is more than a shopping car but of course an ev driver on a road trip needs so much more preparation than with a conventional car thats why ive opened a travel journal and although were not on the road yet im already posting important steps tips and advice for preparation how to plan where to charge which apps in which country etc readfollow if interested ev photo tour 2023 findpenguins i cant wait to start the journey what are your experiences do you already have a long ev road trip behind you joana
2023-05-24,SpeakEV,i havent seen my 500e yet although it stands at the dealerships basement for more than a month now the car is already registered to my name and i paid the annual tax there has been a callback for the batch my car was part of the dealer cant tell me why because fiat wouldnt even disclose the exact problem to him all fiat says is itll send technicians to take care of the problem if the technicians sent from turin are currently touring europe all im left to do is wait
2023-08-01,SpeakEV,our fiat 500e red sustained front body damage on december 31st last year car body repairers still waiting for delivery of bonnet and front bumper from fiat almost 4 months later luckily it is still driveable and roadworthy all be it with an unopenable bonnet if it had been undriveable it would still be off the road serious delay issues if you have an accident in one of these
2020-10-26,SpeakEV,apologies if ive missed a thread on this but i couldnt find one the new fiat 500e has been revealed and to me it looks like a very appealing prospect good looks a much better interior than the current 500 and decent specs including a 42kwh battery allelectric fiat 500 review 2022 read the definitive allelectric fiat 500 2022 review from the expert what car team check specs prices performance and compare with similar cars wwwwhatcarcom the prices sound keen and i think it would make a great alternative to the mini cooper se and honda e
2020-11-21,SpeakEV,noticed that quite a few initial reviews of the new electric fiat 500 are now on youtube from the german reviewers the most interesting one that i came across is linked below links jumps to charging section however due to its length the auto generated closed captions arent available key take aways from the linked video at the 150kw charger car plugged in at 7 initial charge rate of 82kw 26 minutes to 81 at 81 charge rate of 425kw with 277 kwh delivered in that time 4243kw until 85 seems as though it is a staircase shaped charge curve at 85 charge rate drops to 13kw around 29 minutes from 7 to 85 294 kwh delivered in that time another german review of the car with autogenerated closed captions available
2022-08-16,SpeakEV,hi can anyone advise please my wife loves the 500 weve had 3 and now are thinking to go electric test driven 2 at 2 showrooms the only thing thats stopping us ordering is a possible issue with the brakes on both demonstrater cars when at really low speed as if in traffic and creeping forward the brakes make a horrendous squeaking sound it happened on both demo cars the sales guys both said it had never been heard before and fiat have no reported issues with this problem but when i researched it online there were a few review websites who mentioned this issue a while back the main one being a carwow review by mat watson can anyone who had bought a new 500e in the last 6 months please confirm or deny if theyve had any such noise on their electric 500e its the only thing thats stopping us ordering one but if those demo cards were mine and i sat in traffic day after day with that squeaking every time i would go mad thanks for any help
2024-03-07,SpeakEV,i now have low rate electricity overnight 1 i tried to set up a charging schedule on the fiat app and have zappi on fast result immediate charge 2 i tried to delete all settings in fiat app and set up zappi as the scheduled charging result exactly the same 3 i now get up and manually put the charger on we have intelligent octopus my husbands car is the designated car volvo xc40 with its own charger so i am just using it as a piece of the home equipment any advice please
2023-08-22,SpeakEV,charging places in lewis harris plus the recent charging situation for the isle of skye part of my 143 day ev photo tour with the fiat 500e was to the isle of lewis and harris ive summarised my experience and advice on ev charging in the outer hebrides plus a quick recap of the situation in skye if you want to watch the video of this part of the tour you can do this here or you can read the blog photo guide for lewis and harris outer hebrides scotland both lewis and harris part of the outer hebrides make a great road trip for your ev and are particularly fascinating to see through a camera lens if you want to find the best photo spots on lewis and harris look no further ive listed them all for you from sea stacks to historical sites wwwjoanaimagescom with photos of chargers etc charging your electric vehicle is not always easy in the outer hebrides there are only two rapid charging stations in lewis and harris 50kw one in lewis stornoway and one in harris tarbert at stornoway we faced hourlong queues especially when a ferry arrived we have often decided that it makes more sense to charge on a slower 22kw charger but use the charging time to eat or do something else in tarbert it was a bit easier when we were on the island july 2023 charging was still free but we were already seeing a new charging point that was about to go live and once thats online it wont be free anymore there are a few 22kw chargers across the island if you drive a lot i would recommend planning your charging stops accordingly some are located next to the village cafe and i think its only fair to contribute to the community by enjoying a cup of coffee or tea or even by having lunch there while charging for example we did that at the uig community center which is great when you want to go to the mangersta stacks and in breaclete which is very convenient to visit great bernera with your electric vehicle if you want to see north lewis there is a charging station near eoropie beach which is great for visiting the beach but also butt of lewis port stoth etc however nothing to do at this charging station it is located on school grounds albeit open to the public so waiting for the car to charge at 22kw is no fun luckily our fiat 500e only takes 2 to 25 hours on the fastest charge setting from empty to 100 and we usually stop when its at 40 and we know we wont have a rapid charger in 1 to 15 hours were done with a full charge and usually combine this with a packed lunch picnic tables are all over the island but i know some cars dont pick up the juice that quickly and ive heard of some zoe drivers taking two hours to charge 20 at those charge points that sucks in harris there is a 22 kw charger down south in leverburgh next to the ferry terminal but to be fair the distances in harris are so short and sooner or later you will be back in tarbert with two 22kw chargers and one rapid charger which will suffice one piece of urgent advice check the chargeplacescotland app regularly to make sure the charging point you are trying to charge to is working they seem to go out of service on a regular basis and its no fun being stuck in a remote location with no ejuice and no alternative charging point dont forget your cps rfid card the old charging stations dont accept charging via app if you have mobile phone reception anyway another tip if you are catching the ferry from tabert to uig on the isle of skye on the way back make sure you fully charge your car in tabert the charging situation in skye is dire when we were there there was none rapid charger at all and only one 22kw charger with one socket in portree the nearest charging points are all near the skye bridge as you exit the island all other ev chargers are out of order and we have met some ev drivers who have cancelled their stay in skye and turned around due to the poor charging situation skye got a really bad reputation for that and while people usually love skye mass tourism inflated prices and the lack of working charging points seem to be changing that at the moment it almost seems like a method of trying to get rid of ev drivers is this a way to reduce overtourism so charge to 100 in tarbert or you wont be able to drive through skye to get home
2024-01-11,SpeakEV,just got a fiat 500e la prima 73 plate bit confused about charging should i always charge to about 80 and maybe once a month charge to 100 to balance the battery is this necessary i had my nissan leaf and this is how i used to charge the battery was in good condition also i intend to drive in range mode but ive heard its best to drive in normal mode every so often to help the brakes opinions please thanks
2024-01-24,SpeakEV,ive posted this in the fiat 500 forum with more info about my problemsjuat thought id post this here as it may get seen more hi there i have a 500e icon on lease and it was all going good untill a month ago i kept getting a onscreen warning saying something is wrong with the passenger airbag and the sos assistance i called fiat and they said take it to my local dealer but i didnt have time as its 16 mile away and i go to work but then as of a couple of week ago i was sometimes getting a seatbelt warning symbol and sound and it seemed to only happen when i was turning left loli tried to pull on the seatbelt in different directions and where it clips in to recreate the warning but it never happene donly when i drive and turn left and now i keep getting all those warning but no it says one pedal driving unavailable and to use the normal breakand yep in range and sherpa when this wanting happens i take foot of accelerator and the car keeps goingno refen breaking just drove from work tonight and i had to drive 5 mile with all these warnings going off i stopped my car twice turned it off but still happened ive had the car since may i think it isend of april start of may and to top all that off last week lifting my boot lid i heard something rolling around inside my boot doorlidwhere inside the boot you have that odd plastic thats coated in material covering the boot liddoor internals it sounds like sometjings come off inside there and rolling around when im driving or opening the boot i have a feeling fiat will tell me to take it to my dealer but its under warranty but i need a car to get to work and back so its not like i can leave my car with them longer than 4 to 5 hours as i start work at 3pm
2023-08-17,SpeakEV,hey so ordered a fiat 500e icon i cant afford a home wall box for the moment as they are expensive for me i do not drive far so planned on using local fast chargers every now and again and did plan on using the granny cable for a bit of top up over night which all would do me untill i can afford a wall box but just messaged lease company to ask what cables come and said just the type 2 which you use for wall boxes and public chargers where you use your own cable no granny charger they said how much are these and can you get any as long as its the correct end i have a feeling they are expensive shame i could not get one for free like other carsi may have to do without if they are alot
2023-12-23,SpeakEV,just been looking on the fiat website which i find hard to navigate it looks like there is a fiat 500e la prima with a larger range electric range city miles km 2753 443 am i reading it wrong
2023-08-30,SpeakEV,hi all does anyone know if there are any roof racks that fit the new 500e i looked everywhere online but couldnt find anything i wanted something decent looking like thule
2022-12-03,SpeakEV,hi there i have a 500e icon on lease and it was all going good untill a month ago i kept getting a onscreen warning saying something is wrong with the passenger airbag and the sos assistance i called fiat and they said take it to my local dealer but i didnt have time as its 16 mile away and i go to work but then as of a couple of week ago i was sometimes getting a seatbelt warning symbol and sound and it seemed to only happen when i was turning left loli tried to pull on the seatbelt in different directions and where it clips in to recreate the warning but it never happene donly when i drive and turn left and now i keep getting all those warning but now it says one pedal driving unavailable and to use the normal breakand yep in range and sherpa when this warning happens i take foot of accelerator and the car keeps goingno regen breaking just drove from work tonight and i had to drive 5 mile with all these warnings going off i stopped my car twice turned it off but still happened ive had the car since may i think it isend of april start of may and to top all that off last week lifting my boot lid i heard something rolling around inside my boot doorlidwhere inside the boot you have that odd plastic thats coated in material covering the boot liddoor internals it sounds like sometjings come off inside there and rolling around when im driving or opening the boot i have a feeling fiat will tell me to take it to my dealer but its under warranty but i need a car to get to work and back so its not like i can leave my car with them longer than 4 to 5 hours as i start work at 3pm
2020-07-24,SpeakEV,my fiat 500e has been in storage for around a year and is unsurprisingly dead it wont charge when plugged into the level 1 charger will it charge if i were to take it to a level 2 charger or is it completely dead maybe jumpstart the smaller battery is the main battery replaceable or would that not be worth the moneyeffort is there any sense trying to fix it or other things i can look into trying i dont want to salvage it but i dont want to go out to where its stored and spend money to tow it if theres no hope i also dont want to mess it up more any wisdom or advice appreciated
2020-11-20,SpeakEV,just joined this forum i live in oregon usa where i bought a used 3year lease turnin 500e in january absolutely love the car i can drive all over the metro area and in a month with a lot of driving it costs me as much as 6 in electricity very zippy little car and great for city parking the only downside is the low front which routinely scrapes going in and out of driveways i can see why this is the best selling used ev right now as wholesalers buy them up and ship them to used car dealers outside california they may become more readily available if so i recommend them
2017-02-15,SpeakEV,to borrow a phrase from little britain i want that one httpwwwtopgearcomukcarnewsfiat500efirstdrive20130422 shame it is not yet available over here seriously sweet d
2023-10-04,SpeakEV,i have a fiat 500e a wallbox charger i want to schedule for overnight charging any advice about whether it is best to use the car scheduling system or the wallbox schedule via the app
2014-09-30,SpeakEV,and i just get more jealous httpinsideevscomslightlychanged2015fiat500enowonsaleinoregon199leaseineffect
2021-09-20,SpeakEV,hi all just joined the forum following a sucessfull test drive we are very keen to place an order on a passion in celestial blue the dealership have not been particularly great so i do not have any loyalty so would be willing to search around for a better deal than list price has anyone been successful in achieving an order under list price less the uk government grant and fiat deposit contribution carwow is mostly coming back with list price with one exception but delivery charges from so far away eat into any discount thanks
2023-06-10,SpeakEV,with our road trip through north europe we managed now more than 3000 miles ev photo tour 2023 findpenguins 10000 miles 10 countries 192 photo spots all electrical with the fiat 500e read the journal for ev road trip tips photo spots and vegan food experiences findpenguinscom average consumption still at 45 miles per kw although i think it should be a bit less when i watch the actual trips it is usually something around 41 42 if it is very windy and uphill it might even be 39 still not bad i listened to you guys and am taking now almost always a photo and a description where and how to charge within the travel journal ev photo tour 2023 findpenguins 10000 miles 10 countries 192 photo spots all electrical with the fiat 500e read the journal for ev road trip tips photo spots and vegan food experiences findpenguinscom tomorrow off to the shetlands which will be a real adventure as there are not many chargers sco
2023-05-01,SpeakEV,my 5 months 10000 miles 10 countries and 192 photo spots ev tour is just about to start early hours next morning to be able to pack not only clothes but also a lot of technical equipment two photographers we removed the back panel of the rear seats see how we have done it vegan ev travellers findpenguins interested in the itinerary if you want to follow my journal in real time and see if we get stuck in the remote scottish highlands with an empty battery here you have the opportunity vegan ev travellers findpenguins vegan ev travellers traveled in 12 countries explore the travels of vegan ev travellers on findpenguins findpenguinscom
2023-06-19,SpeakEV,hi my 500e lease is up in about 18m and i was wondering what could replace it max length in my garage about 38m the 500e being what 32m looking for a small city car with a similar range 160 real miles 199 wltp its that length on the fiat side as theres a freezer other side has my mokkae so i was thinking eup or another 500e anything else i ought to be considering like i said 160m range and max 38m long thanks
2024-07-13,SpeakEV,this looks very cool and is promised to come in cheaper than the 500e next fiat panda aims for most affordable ev title will slot below 500e next fiat panda aims for most affordable ev title with customizable clever crossover that will slot below 500e electrekco i like the modular approach and simplicity no word on actual costs and battery size etc
2023-12-07,SpeakEV,hi all i have had my nissan leaf since 2016 type 1 charger from new and had a pod point installed at home when i got the car im getting a fiat 500e in a couple of weeks which obviously is type 2 ive been in touch with pod point who have told me the tethered cable at home cant be swapped over due to new regulations and i need a whole new unit with a data cable the installation is not straightforward but can be done as i already have a pod point a few questions is it illegal to still have a very old pod point about 7 and half years old which doesnt have the data cable im not bothered about viewing it all on my phone can i just buy a type 1 to type 2 adapter and put this on the end of my tethered pod point cable at home will this be detrimental to my new car in anyway im probably going to have to pay anything up to 1500 because the installation isnt straight forward not sure whether its just best to get a whole new unit installed with the data cable or stick with what ive got and buy an adapter this would save a lot of money any advice welcome thanks
2023-12-25,SpeakEV,i had a 2016 nissan leaf for nearly 8 years and have just part exchanged it for a fiat 500e i really like the car but there has been one issue after another i know the issues are all things that can be rectified but im just not sure if i should get something else the dealer has agreed i can reject the car because it is within 14 days can you recommend a small ev preferably 3 door smaller than the old style leaf with a decent range when i got my leaf there were only a handful of evs now there is so much choice im confused thanks
2022-02-16,SpeakEV,hi there my wife bought a fiat 500e last june and i have to say it is a fantastic car however one question i have is fiat claims the cars wltp range is good for 199 miles but when fully charged the dash says the range is 161 miles is there some sort of safety margin here this has been like this for some time so when the weather was warmer i wonder if any of you can shed some light on this cheers austin
2022-06-06,SpeakEV,hello first time poster and ev owner here my better half has just gotten her license auto only and decided to opt for the fiat 500e 24kw we currently rent our home and may be looking to move in the next year or so ideally wed like a home charging solution since the range on the 24kw 500e isnt the greatest and i dont want to be sat in our local station car park every day having a gander online i can see things like podpoints are around 700 but with the 350 grant this will obviously work out cheaper however im reluctant to pay for a charger that ill own and add value to a house thats not mine only to move in 8 months time and have to fork out for a new charger again this time without the grant since itll have been used so i know that egg isnt the cheapest solution as its 30 a month not including the exorbitant cost of electricity at the moment and i understand owning our charger would be a cheaper option long term but given our current circumstances described above does this seem like a decent short term option or is there something better i should be looking at apologies if this is a noob question this is our first foray into evs and so id rather ask people with knowledge than try to figure it all out on my own with no idea what im doing  goose
2024-03-28,SpeakEV,short version are there any evs coming soon with reasonable range and affordable insurance long version contemplating the future of my e208 i had a shock when i checked how much it would cost to insure a new driver using a comparison website figures below for newly qualified driver in middle of suburbia nowhere special clean license 8000 miles driving per year unlike most of my previous small cars i wont be selling it or donating it to someone looking for a cheap first car agecheapest quotesecond cheapest quote173500725021280030002521002200 ps i know these figures can be reduced a bit by various hacks such as having an older named driver on the policy but the 208 is insurance group 26 figures for the seat mii insurance group 12 are more reasonable and its got a useable range unfortunately vw group are no longer making these small evs so will soon become rare and the lowest insurance group i could find for a new car with a reasonable range was group 17 for a fiat 500e 42kwh nice looking car but insurance might still be too pricey i suspect my questions are 1 are there any new cars coming soon with a reasonable range eg 100 miles winter range and reasonable insurance eg group 10ish or below 2 not completely serious but intended to promote discussion if someone invented a stellantis sport mode disabler could we get the e208corsae etc more sensible insurance quotes for its natural second and third hand market
2022-08-22,SpeakEV,moien im änder from luxembourg aged 44 and last week i ordered a fiat 500e cabrio after having felt to get an electric car for a certain time now the fiat will be my main car replacing my 2015 renault mégane coupécabriolet with a diesel engine and more than 100k km on the counter i like to go on hikes in my country especially the autopédestres their name comes from driving with a car to the starting point and then walking marked circuits there are about 200 of those in my tiny country seeing whole forest parcels dying these last years i thought i better switch from burning oil products to electric power which can be produced in a much cleaner way after all i hope ill find the answers im looking for here and maybe make some interesting contacts
2023-07-14,SpeakEV,my blog about shetland is now available to read and view ev road trip shetlands driven from italy to the shetlands with the fiat 500e of course it includes shetlands 20 best photo spots as well as a guide for an electric vehicle road trip and vegan food on the islands please feel free to share free photo guide for the shetlands the shetland islands a remote archipelago off the coast of scotland offer photographers a unique and stunning landscape with its dramatic coastline towering cliffs and abundant wildlife the shetlands are a photographers dream from the iconic bressay lighthouse to the breathtaking wwwjoanaimagescom
2023-06-29,SpeakEV,hi in case you are interested in an ev road trip to aberdeenshire and surroundings here a guide to the best beauty spots with charging options etc ev road trip aberdeenshire of course our ev photo road trip also took us to the more than beautiful east coast of scotland mainly aberdeenshire but also fife moray angus the area boasts photogenic landscapes and sceneries be it on the coast be it in the highlands of cairngorms or on the castle trail get a guide wwwjoanaimagescom with 20 beauty spots ev charging options and vegan food recommendations no range anxiety and no hunger anymore of course this road trip was tested by my beloved fiat 500e
2022-05-08,SpeakEV,as predicted or not tesla has disappeared from the top seller list after all march deliveries of model y even model 3 didnt make it 12899 new bev were registered however those selfcharging hybrids appear to be winning across the eu tesla and volkswagen are doing better in ev with fiat 500e becoming a surprise hit makemodelteslamodel 319001teslamodel y14914fiat500e10596volkswagenid49600kianiro8844hyundaiioniq 58484skodaenyaq8462renaultzoe8034hyundaikona7951audiq4 etron7173kiaev66644peugeote2086438 makesharetesla35918142volkswagen1952077kia1804071hyundai1798771audi151346bmw1440657renault1423656peugeot1309352fiat1096743mercedesbenz1062442 electric vehicle registrations in europe 15 countries majority of bev market
2021-08-29,SpeakEV,anyone else looking forward to the new 500e finally reaching our shores next year put my name down for this first edition of the new 500e as i love the idea of the canvas roof version an original tesla roadster is out of my budget made contact with my local dealer whos expecting a delivery date of march 2021 already had the nice fiat lady from italy calling to keep me informed and to congratulate me on my good taste in cars ill post any updates here
2021-09-21,SpeakEV,i asked on another thread about what you get in the car looking at the website you get a wall box that is essentially a neater way to use a 3 pin plug not bad but not ideal as our dumb rolec charger is nearly 6 years old im thinking of upgrading however there isnt any costs cited and dealership doesnt have details has anyone enquired i know 6 years ago my install cost me 249 after the grant i assume itll be far more today also my concern is whilst smart is neat dumb also means the energy providers cant tax use which im assuming will be enviable as its invisible to them so reluctant to give the rolec up thoughts
